年份,0-14岁人口(万人),15-64岁人口(万人),65岁及以上人口(万人)
2000,29012,88910,8821
2001,28716,89849,9062
2002,28774,90302,9377
2003,28559,90976,9692
2004,27947,92184,9857
2005,26504,94197,10055
2006,25961,95068,10419
2007,25660,95833,10636
2008,25166,96680,10956
2009,24659,97484,11307
2010,22259,99938,11894
2011,22261,100378,12277
2012,22427,100718,12777
2013,22423,101041,13262
2014,22712,101032,13902
2015,22824,100978,14524
2016,23252,100943,15037
2017,23522,100528,15961
2018,23751,100065,16724
2019,23689,99552,17767
2020,25277,96871,19064
2021,24678,96526,20056
2022,23908,96289,20978
