省份,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
全国平均,8.18,6.95,6.45,6.01,5.87,5.89,5.28,5.17,5.08,4.87,4.79,6.13,7.43,5.9,6.71,4.93,6.53,5.58,3.78,3.32,1.44568067465098,0.34,-0.600000000000001,-1.4
北京市,0.9,0.8,0.9,-0.1,0.7,1.09,1.29,3.4,3.42,3.5,3.07,4.02,4.74,4.41,4.83,3.01,4.12,3.76,2.66,2.63,1.8,0.96,-0.0499999999999998,-0.5
天津市,2.95,1.64,1.45,1.1,1.34,1.43,1.6,2.05,2.19,2.6,2.6,2.5,2.63,2.28,2.14,0.23,1.83,2.6,1.25,1.43,0.07,-0.93,-1.68,-2.57
河北省,6.73,4.98,5.28,5.16,5.79,6.09,6.23,6.55,6.55,6.5,6.81,6.5,6.47,6.17,6.95,5.56,6.06,6.6,4.88,4.71,0.94,-0.43,-1.71,-2.8
山西省,9.86,7.16,6.72,6.22,6.25,6.02,5.75,5.33,5.31,4.89,5.3,4.86,4.87,5.24,4.99,4.42,4.77,5.61,4.31,3.27,1.24,-0.26,-0.98,-2.25
内蒙古自治区,7.24,4.98,3.68,3.07,3.55,4.62,3.96,4.48,4.27,3.96,3.76,3.51,3.65,3.36,3.56,2.4,3.34,3.73,2.4,2.57,-0.1,-1.28,-2.25,-3.42
辽宁省,3.33,1.64,1.34,1.07,0.91,0.97,1.1,1.53,1.1,0.97,0.42,-0.34,-0.39,-0.0300000000000002,0.26,-0.42,-0.180000000000001,-0.44,-1.0,-0.8,-3.43,-4.18,-4.96,-5.63
吉林省,5.23,3.38,3.19,1.61,1.76,2.57,2.67,2.5,1.61,1.95,2.03,1.02,0.36,0.32,0.4,0.34,-0.0499999999999998,0.26,0.36,-0.850000000000001,-2.97,-3.38,-4.07,-5.39
黑龙江省,5.06,2.99,2.54,2.03,1.82,2.67,2.39,2.49,2.23,2.06,2.32,1.07,1.27,0.78,0.91,-0.6,-0.49,-0.41,-0.69,-1.01,-4.48,-5.11,-5.75,-5.1
上海市,-1.1,-0.95,-0.54,-1.35,0.001,0.96,1.58,3.04,2.72,2.7,1.98,1.87,4.2,2.94,3.14,2.45,4.0,2.8,1.8,1.5,-0.56,-0.92,-1.61,-2.42
江苏省,3.56,2.41,2.18,2.01,2.25,2.21,2.28,2.3,2.3,2.56,2.85,2.61,2.45,2.43,2.43,2.02,2.73,2.68,2.29,2.08,0.16,-1.12,-1.81,-2.7
浙江省,4.29,3.77,3.79,3.28,4.95,5.02,4.87,4.81,4.58,4.63,4.73,4.07,4.6,4.56,5.0,5.02,5.7,6.36,5.44,4.99,0.57,1.0,0.04,-0.86
安徽省,8.6,6.61,6.03,5.95,6.12,6.2,6.3,6.35,6.45,6.47,6.75,6.32,6.86,6.82,6.97,6.98,7.06,8.17,6.45,5.99,1.49,0.05,-0.93,0.0
福建省,5.21,6.04,5.78,5.85,5.96,5.98,6.25,6.0,6.3,6.2,6.11,6.21,7.01,6.19,7.5,7.8,8.3,8.8,7.0,6.8,2.97,1.98,0.550000000000001,-0.14
江西省,9.49,9.38,8.72,8.09,7.62,7.83,7.79,7.87,7.91,7.89,7.66,7.5,7.32,6.91,6.98,6.96,7.29,7.71,7.37,6.56,2.87,1.63,0.25,-0.84
山东省,4.81,4.88,4.55,4.78,6.01,5.83,5.5,5.0,5.09,5.62,5.39,5.1,4.95,5.01,7.39,5.88,10.84,10.14,6.08,4.27,1.31,0.02,-0.93,-2.18
河南省,7.72,6.94,6.03,5.64,5.2,5.25,5.32,4.94,4.97,4.99,4.95,4.94,5.16,5.51,5.78,5.65,6.15,5.98,4.92,4.18,2.09,0.64,-0.0800000000000001,-0.94
湖北省,5.2,2.44,2.21,2.32,2.4,3.05,3.13,3.23,2.71,3.48,4.34,4.38,4.88,4.93,4.9,4.91,5.07,5.59,4.54,4.27,0.61,-0.88,-2.01,-3.2
湖南省,4.6,5.08,4.86,4.95,5.09,5.15,5.19,5.25,5.4,6.11,6.4,7.08492837101079,7.1414471186698,7.10386656557998,6.7383241238362,6.86980190533797,6.74018126888217,6.38803984763916,5.29846246608381,3.2376647834275,0.61,-1.15,-2.31,-3.08
广东省,9.92,8.83,8.21,8.35,8.01,7.02,7.29,7.3,7.25,7.26,6.97,6.1,6.95,6.02,6.1,6.8,7.44,9.16,8.24,8.08,5.58,4.52,3.33,2.76
广西壮族自治区,8.03,7.73,7.0,7.29,7.2,8.16,8.34,8.2,8.7,8.53,8.65,7.67,7.89,7.93,7.86,7.9,7.87,8.92,8.16,7.17,4.9,2.88,1.43,0.42
海南省,12.03,9.47,9.48,9.16,8.98,8.93,8.86,8.91,8.99,8.96,8.98,8.97,8.85,8.69,8.61,8.57,8.57,8.72,8.47,6.76,4.51,3.73,2.44,0.0
重庆市,4.96,2.8,3.28,2.69,2.85,3.0,3.4,3.8,3.8,3.7,2.77,3.17,4.0,3.6,3.62,3.86,4.53,3.91,3.48,2.91,-0.23,-1.55,-2.11,-3.32
四川省,6.78,4.37,3.89,3.12,2.78,2.9,2.86,2.92,2.39,2.72,2.31,2.98,2.97,3.0,3.2,3.36,3.49,4.23,4.04,3.61,-0.88,-1.89,-2.65,-3.12
贵州省,14.24,11.33,10.75,9.04,8.73,7.38,7.26,6.68,6.72,6.96,7.41,6.38,6.31,5.9,5.8,5.8,6.5,7.1,7.05,6.7,6.53,4.98,3.71,2.88
云南省,11.66,10.94,10.6,9.8,9.0,7.97,6.9,6.86,6.32,6.08,6.54,6.35,6.22,6.17,6.2,6.4,6.61,6.85,6.87,6.43,3.04,1.23,-0.0700000000000003,-0.39
西藏自治区,15.8,12.1,12.76,11.1,11.2,10.79,11.7,11.3,10.3,10.24,10.25,10.26,10.27,10.38,10.55,10.65,10.68,11.05,10.64,10.14,8.59,8.7,8.76,7.96
陕西省,6.13,4.16,4.12,4.29,4.26,4.01,4.04,4.05,4.08,4.0,3.72,3.69,3.88,3.86,3.87,3.82,4.41,4.87,4.43,4.27,1.84,0.51,-0.279999999999999,-1.31
甘肃省,9.17,7.15,6.71,6.12,5.91,6.02,6.24,6.49,6.54,6.61,6.03,6.05,6.06,6.08,6.1,6.21,6.0,6.02,4.42,3.85,2.64,1.42,-0.0399999999999991,-1.33
青海省,13.9,12.62,11.7,10.85,9.87,9.49,8.97,8.8,8.35,8.32,8.63,8.31,8.24,8.03,8.49,8.55,8.52,8.25,8.06,7.58,4.78,4.31,3.37,1.68
宁夏回族自治区,12.32,11.71,11.56,10.95,11.18,10.98,10.69,9.76,9.69,9.68,9.04,8.97,8.93,8.62,8.57,8.04,8.97,8.69,7.78,8.03,5.71,5.53,4.41,3.4
新疆维吾尔自治区,11.8,11.13,10.87,10.78,10.91,11.38,10.76,11.78,11.17,10.56,10.71,10.57,10.84,10.92,11.47,11.08,11.08,11.4,6.13,3.69,1.48,0.56,0.77,0.0
